Sex,Height (cm),Weight (KG),Arm Span (cm),How long have you been climbing for (years)?,Hardest V Grade ever climbed ,Frequency of climbing sessions per week,Average hours climbing per week (not including training),Average hours Training for climbing per week ,Campus Board frequency per week ,Campus Board time per week (hours),Frequency of Endurance training sesions per week,General Strength Training frequency per week ,Time spent General strength training per week (hours),Max pull up reps,Max push ups reps,BMI,APE,Pullup ratio,top_or_bottom
1,173.0,77.0,178.0,5,7,4,8,6,0,0,1,3,4,15,40,25.727555214006482,1.0289017341040463,1.1948051948051948,Bottom
1,180.0,81.0,180.0,4,2,1,3,10,0,0,1,2,2,11,24,25.0,1.0,1.1358024691358024,Bottom
1,173.0,70.0,178.0,10,4,2,6,1,0,0,1,0,0,8,30,23.38868655818771,1.0289017341040463,1.1142857142857143,Bottom
1,176.0,67.0,170.0,6,6,0,0,0,0,0,0,4,6,9,15,21.62964876033058,0.9659090909090909,1.1343283582089552,Bottom
1,186.0,88.0,192.0,2,4,3,8,8,0,0,2,3,4,9,25,25.4364666435426,1.032258064516129,1.1022727272727273,Bottom
1,178.0,81.6,178.0,6,6,2,4,0,0,0,2,3,3,7,30,25.754323948996337,1.0,1.0857843137254901,Bottom
0,168.0,54.0,170.0,2,5,4,8,8,0,0,1,4,2,12,30,19.13265306122449,1.0119047619047619,1.2222222222222223,Bottom
1,163.0,65.0,165.0,6,10,4,12,4,2,1,0,0,0,35,120,24.46460160337235,1.0122699386503067,1.5384615384615385,Top
1,174.0,70.0,178.0,2,2,0,1,0,0,0,0,2,2,10,10,23.120623596247853,1.0229885057471264,1.1428571428571428,Bottom
1,176.0,60.0,177.0,3,6,3,8,2,0,0,0,1,1,10,30,19.369834710743802,1.0056818181818181,1.1666666666666667,Bottom
1,190.0,82.0,197.0,3,5,3,4,2,0,0,2,2,2,10,30,22.714681440443215,1.0368421052631578,1.1219512195121952,Bottom
1,177.0,66.0,178.0,8,6,3,8,1,0,0,1,1,1,20,40,21.06674327300584,1.0056497175141244,1.303030303030303,Bottom
1,179.0,69.0,178.0,13,9,3,5,7,2,1,0,3,5,12,20,21.534908398614277,0.994413407821229,1.173913043478261,Top
0,165.1,53.0,165.1,4,2,5,10,3,0,0,0,3,2,5,11,19.44382586990026,1.0,1.0943396226415094,Bottom
1,180.0,79.5,185.0,1,3,3,6,3,0,0,2,2,2,18,50,24.537037037037035,1.0277777777777777,1.2264150943396226,Bottom
1,186.0,73.0,190.0,3,4,2,6,1,0,0,1,1,1,12,10,21.10070528384784,1.021505376344086,1.1643835616438356,Bottom
1,183.0,100.0,185.0,3,5,2,4,0,0,0,0,2,2,12,70,29.860551225775623,1.010928961748634,1.12,Bottom
1,167.0,60.0,179.0,4,8,3,6,3,0,0,0,2,2,13,22,21.513858510523864,1.0718562874251496,1.2166666666666666,Top
1,173.0,86.0,173.0,2,5,3,4,4,2,2,2,4,8,32,286,28.734672057202044,1.0,1.372093023255814,Bottom
1,182.0,72.0,182.0,16,10,3,4,2,1,1,1,2,1,25,25,21.736505252988767,1.0,1.3472222222222223,Top
1,170.0,64.0,165.0,1,5,1,3,3,0,0,0,0,0,16,115,22.145328719723185,0.9705882352941176,1.25,Bottom
1,182.0,76.0,180.0,5,5,1,3,3,0,0,0,1,2,10,20,22.944088878154812,0.989010989010989,1.131578947368421,Bottom
1,178.0,70.3,178.0,1,3,3,5,3,0,0,0,3,3,18,40,22.187855068804442,1.0,1.256045519203414,Bottom
1,183.0,80.0,187.0,2,3,3,6,0,0,0,0,2,4,10,50,23.888440980620498,1.0218579234972678,1.125,Bottom
1,193.0,79.0,193.0,3,7,3,7,6,0,0,0,3,6,20,30,21.20862305028323,1.0,1.2531645569620253,Bottom
1,174.0,65.0,176.0,2,4,3,8,1,0,0,0,1,1,15,40,21.469150482230148,1.0114942528735633,1.2307692307692308,Bottom
1,186.0,72.5,190.0,3,7,4,8,8,0,0,3,3,6,20,15,20.956179905191348,1.021505376344086,1.2758620689655173,Bottom
1,188.0,73.0,189.0,1,0,1,3,8,0,0,2,2,4,16,105,20.654142145767317,1.0053191489361701,1.2191780821917808,
1,182.0,79.0,184.0,3,5,3,10,1,0,0,0,3,7,12,50,23.849776597029344,1.010989010989011,1.1518987341772151,Bottom
1,180.0,86.0,177.0,1,6,3,9,2,1,1,1,0,0,45,112,26.54320987654321,0.9833333333333333,1.5232558139534884,Bottom
1,174.0,75.0,180.0,12,5,3,8,0,0,0,1,0,0,20,25,24.772096710265558,1.0344827586206897,1.2666666666666666,Bottom
1,178.0,59.0,183.0,3,7,3,6,3,2,2,1,2,1,12,30,18.621386188612547,1.0280898876404494,1.2033898305084745,Bottom
1,175.0,73.0,183.0,1,1,2,4,2,0,0,2,2,2,12,33,23.836734693877553,1.0457142857142858,1.1643835616438356,Bottom
1,178.0,70.0,195.0,15,12,4,12,4,1,1,1,3,3,25,40,22.093170054286073,1.095505617977528,1.3571428571428572,Top
1,178.0,75.0,180.0,6,6,4,5,5,0,0,1,4,3,12,45,23.671253629592222,1.0112359550561798,1.16,Bottom
0,165.0,65.0,163.0,5,3,4,9,0,0,0,1,0,0,1,0,23.875114784205696,0.9878787878787879,1.0153846153846153,Bottom
1,174.0,73.0,179.0,5,6,3,5,2,0,0,0,1,1,15,35,24.111507464658473,1.028735632183908,1.2054794520547945,Bottom
0,171.0,74.0,178.0,3,4,1,3,0,0,0,0,0,0,2,45,25.3069320474676,1.04093567251462,1.027027027027027,Bottom
1,170.0,66.5,171.0,11,3,2,4,8,0,0,3,1,1,10,30,23.010380622837374,1.0058823529411764,1.150375939849624,Bottom
1,188.0,87.0,200.0,2,5,3,7,2,0,0,0,2,1,8,5,24.615210502489816,1.0638297872340425,1.0919540229885059,Bottom
1,180.0,74.0,180.0,3,7,3,9,0,0,0,0,3,5,12,30,22.839506172839506,1.0,1.162162162162162,Bottom
1,160.0,52.0,163.0,3,6,3,9,9,3,1,0,3,3,15,50,20.312499999999996,1.01875,1.2884615384615385,Bottom
1,177.0,71.0,178.0,16,9,3,7,2,2,1,2,3,2,25,25,22.66270867247598,1.0056497175141244,1.352112676056338,Top
1,180.0,63.0,177.0,16,8,3,4,6,0,0,0,1,1,22,35,19.444444444444443,0.9833333333333333,1.3492063492063493,Top
1,183.0,77.5,193.0,3,9,5,12,6,1,1,0,3,4,18,42,23.14192719997611,1.0546448087431695,1.232258064516129,Top
1,182.0,78.0,190.0,4,6,3,2,3,0,0,0,2,1,20,50,23.54788069073783,1.043956043956044,1.2564102564102564,Bottom
1,178.0,79.0,172.0,14,7,4,9,0,0,0,0,0,0,12,25,24.933720489837143,0.9662921348314607,1.1518987341772151,Bottom
1,190.0,87.0,194.0,1,2,2,2,2,0,0,0,5,6,8,12,24.099722991689752,1.0210526315789474,1.0919540229885059,Bottom
1,185.0,86.0,188.0,11,6,2,5,1,2,1,0,0,0,15,20,25.127830533235937,1.0162162162162163,1.1744186046511629,Bottom
1,176.0,70.0,180.0,1,2,2,6,0,0,0,0,2,2,19,50,22.59814049586777,1.0227272727272727,1.2714285714285714,Bottom
1,185.0,68.0,188.0,5,7,3,3,0,0,0,0,0,0,10,10,19.86851716581446,1.0162162162162163,1.1470588235294117,Bottom
1,183.0,84.0,190.5,2,7,6,5,10,2,5,0,4,10,14,30,25.082863029651524,1.040983606557377,1.1666666666666667,Bottom
1,185.0,82.0,178.0,2,5,3,9,0,0,0,3,2,4,16,25,23.959094229364496,0.9621621621621622,1.1951219512195121,Bottom
1,184.0,75.0,187.0,4,6,3,12,6,1,1,2,2,8,20,50,22.152646502835537,1.016304347826087,1.2666666666666666,Bottom
1,180.0,73.4,183.0,8,9,3,2,5,0,0,0,3,1,25,45,22.654320987654323,1.0166666666666666,1.340599455040872,Top
1,177.0,59.0,177.0,1,5,3,7,0,0,0,0,0,0,15,50,18.832391713747644,1.0,1.2542372881355932,Bottom
1,180.0,70.3,187.0,10,10,4,8,8,0,0,2,2,4,18,21,21.697530864197528,1.038888888888889,1.256045519203414,Top
1,182.0,72.5,182.0,4,3,2,5,0,0,0,0,0,1,10,50,21.887453206134523,1.0,1.1379310344827587,Bottom
