Sex,Height (cm),Weight (KG),Arm Span (cm),How long have you been climbing for?,Hardest V Grade ever climbed ,Max pull up reps,max push ups reps
1,173.0,77.0,178.0,2,7,15,40
1,180.0,81.0,180.0,2,2,11,24
1,173.0,70.0,178.0,5,4,8,30
1,176.0,67.0,170.0,3,6,9,15
1,186.0,88.0,192.0,1,4,9,25
1,178.0,81.6,178.0,3,6,7,30
0,168.0,54.0,170.0,1,5,12,30
1,163.0,65.0,165.0,3,10,35,120
1,174.0,70.0,178.0,1,2,10,10
1,176.0,60.0,177.0,1,6,10,30
1,190.0,82.0,197.0,1,5,10,30
1,177.0,66.0,178.0,4,6,20,40
1,179.0,69.0,178.0,6,9,12,20
0,165.1,53.0,165.1,2,2,5,11
1,180.0,79.5,185.0,0,3,18,50
1,186.0,73.0,190.0,1,4,12,10
1,183.0,100.0,185.0,1,5,12,70
1,167.0,60.0,179.0,2,8,13,22
1,173.0,86.0,173.0,1,5,32,286
1,182.0,72.0,182.0,6,10,25,25
1,170.0,64.0,165.0,0,5,16,115
1,182.0,76.0,180.0,2,5,10,20
1,178.0,70.3,178.0,0,3,18,40
1,183.0,80.0,187.0,1,3,10,50
1,193.0,79.0,193.0,1,7,20,30
1,174.0,65.0,176.0,1,4,15,40
1,186.0,72.5,190.0,1,7,20,15
1,188.0,73.0,189.0,0,0,16,105
1,182.0,79.0,184.0,1,5,12,50
1,180.0,86.0,177.0,0,6,45,112
1,174.0,75.0,180.0,6,5,20,25
1,178.0,59.0,183.0,1,7,12,30
1,175.0,73.0,183.0,0,1,12,33
1,178.0,70.0,195.0,6,12,25,40
1,178.0,75.0,180.0,3,6,12,45
0,165.0,65.0,163.0,2,3,1,0
1,174.0,73.0,179.0,2,6,15,35
0,171.0,74.0,178.0,1,4,2,45
1,170.0,66.5,171.0,6,3,10,30
1,188.0,87.0,200.0,1,5,8,5
1,180.0,74.0,180.0,1,7,12,30
1,160.0,52.0,163.0,1,6,15,50
1,177.0,71.0,178.0,6,9,25,25
1,180.0,63.0,177.0,6,8,22,35
1,183.0,77.5,193.0,1,9,18,42
1,182.0,78.0,190.0,2,6,20,50
1,178.0,79.0,172.0,6,7,12,25
1,190.0,87.0,194.0,0,2,8,12
1,185.0,86.0,188.0,6,6,15,20
1,176.0,70.0,180.0,0,2,19,50
1,185.0,68.0,188.0,2,7,10,10
1,183.0,84.0,190.5,1,7,14,30
1,185.0,82.0,178.0,1,5,16,25
1,184.0,75.0,187.0,2,6,20,50
1,180.0,73.4,183.0,4,9,25,45
1,177.0,59.0,177.0,0,5,15,50
1,180.0,70.3,187.0,5,10,18,21
1,182.0,72.5,182.0,2,3,10,50
1,178.0,85.0,186.0,3,7,20,80
1,183.0,93.0,183.0,0,5,18,40
1,176.0,58.0,179.0,3,9,50,50
1,171.0,74.0,180.0,2,5,20,75
1,175.0,50.0,110.0,6,6,10,20
1,178.0,78.0,185.0,2,6,15,40
1,178.0,75.0,176.0,1,0,24,46
1,165.0,63.0,169.0,6,9,20,50
1,178.0,75.0,180.0,6,9,25,50
0,153.0,45.5,155.0,0,2,5,24
1,171.0,64.0,172.0,1,7,19,50
1,190.0,78.0,190.0,1,5,6,20
