sex,max_boulder,exp,pullup,pushup,height (cm),weight (kg),span (cm)
0,1,6,2.0,6.0,165.1,68.492392,165.1
0,5,4,15.0,30.0,162.56,56.699,162.56
1,8,6,18.0,70.0,177.8,70.30676,187.96
1,7,6,15.0,35.0,172.72,74.84268,182.88
0,7,4,5.0,7.0,172.72,64.410064,177.8
0,6,5,8.0,7.0,186.69,64.863656,193.04
0,7,5,12.0,22.0,175.26,63.50288,177.8
1,11,5,18.0,22.0,181.61,74.84268,189.23
0,7,6,13.0,16.0,165.1,52.16308,164.465
0,3,5,0.0,0.0,170.18,61.688512,162.56
1,7,3,14.0,26.0,172.72,68.0388,172.72
0,7,6,14.0,35.0,165.1,58.059776,172.72
1,4,4,16.0,27.0,185.42000000000000,76.657048,185.42000000000000
1,5,3,19.0,29.0,185.42000000000000,71.667536,185.42000000000000
1,9,6,13.0,17.0,175.26,67.131616,182.88
1,6,4,13.0,30.0,177.8,74.84268,185.42000000000000
1,7,6,14.0,36.0,179.07,70.760352,179.07
1,5,4,9.0,19.0,182.88,81.64656,185.42000000000000
1,7,3,15.0,19.0,167.64000000000000,61.688512,170.18
0,3,1,3.0,10.0,160.02,58.059776,165.1
1,7,5,6.0,21.0,180.34,88.45044,190.5
1,4,3,12.0,21.0,177.8,74.84268,165.1
1,14,6,16.0,35.0,177.8,70.30676,185.42000000000000
0,9,6,12.0,22.0,157.48,54.431040000000000,157.48
0,1,4,8.0,15.0,160.02,56.699,157.48
1,9,5,15.0,20.0,170.18,61.23492,177.8
1,6,6,12.0,25.0,156.21,70.30676,192.024
0,9,4,14.0,26.0,157.48,49.89512,154.94
1,6,6,11.0,33.0,175.26,72.57472,182.88
1,8,3,16.0,30.0,172.72,69.399576,170.18
1,7,6,30.0,75.0,187.96,83.91452,15.74
0,0,5,4.0,10.0,167.64000000000000,57.606184,162.56
0,7,4,9.0,18.0,165.1,59.420552,157.48
1,5,3,11.0,12.0,187.96,70.30676,190.5
1,5,6,22.0,37.0,180.34,76.203456,180.34
1,8,6,15.0,21.0,187.96,82.100152,194.31
1,8,3,14.0,30.0,177.8,74.84268,185.42000000000000
1,0,5,15.0,31.0,175.26,69.853168,175.26
1,8,6,15.0,24.0,170.18,65.77084000000000,177.8
1,11,5,19.0,33.0,182.88,76.203456,187.96
0,4,4,10.0,30.0,157.48,54.431040000000000,157.48
0,7,6,12.0,18.0,165.1,54.431040000000000,162.56
0,0,5,2.0,9.0,187.96,72.57472,190.5
1,8,3,10.0,22.0,162.56,58.96696,162.56
1,0,4,10.0,19.0,182.88,83.91452,185.42000000000000
1,9,5,15.0,26.0,182.88,72.57472,182.88
0,5,3,0.0,0.0,170.18,63.50288,162.56
1,11,4,20.0,20.0,170.18,50.802304,177.8
0,4,2,4.0,4.0,160.02,48.987936,160.02
1,3,3,9.0,22.0,172.72,72.57472,175.26
1,9,6,14.0,22.0,165.1,61.23492,170.18
1,4,2,13.0,22.0,172.72,71.667536,182.88
0,4,0,16.0,39.0,157.48,53.977448,160.02
1,11,6,21.0,36.0,180.34,68.945984,193.04
1,7,3,14.0,34.0,177.8,74.84268,182.88
1,11,6,22.0,30.0,175.26,67.585208,177.8
1,0,5,27.0,50.0,179.07,83.007336,186.69
1,4,2,20.0,45.0,177.8,74.389088,182.88
1,5,3,14.0,29.0,175.26,70.760352,180.34
1,7,6,15.0,30.0,172.72,73.935496,182.88
1,5,6,12.0,26.0,172.72,67.131616,177.8
1,5,6,16.0,28.0,172.72,62.142104000000000,172.72
1,1,2,14.0,30.0,175.26,70.30676,182.88
0,6,6,11.0,19.0,165.1,62.595696,160.02
1,0,3,22.0,28.0,185.42000000000000,70.760352,186.69
0,8,4,15.0,30.0,157.48,51.255896,154.94
1,0,6,27.0,75.0,172.72,74.84268,170.18
0,3,2,2.0,30.0,157.48,58.96696,157.48
0,7,4,8.0,8.0,173.99,65.77084000000000,175.26
1,7,6,18.0,31.0,170.18,65.317248,175.26
1,4,2,11.0,15.0,187.96,65.77084000000000,193.04
0,6,3,6.0,7.0,154.94,52.16308,152.4
1,9,3,22.0,34.0,170.18,65.77084000000000,170.18
0,5,5,6.0,20.0,187.96,72.57472,190.5
0,4,6,7.0,15.0,160.02,56.699,162.56
1,6,6,28.0,43.0,175.26,69.399576,177.8
1,9,5,21.0,53.0,167.64000000000000,64.410064,172.72
0,0,6,2.0,10.0,175.26,66.224432,172.72
